,Producator procesor,Tip procesor,Model procesor,Arhitectura,Numar nuclee,Frecventa nominala,Cache,Tehnologie procesor,Procesor grafic integrat,Diagonala display,Format display,Tehnologie display,Finisaj display,Rezolutie,Capacitate memorie,Tip memorie,Sloturi ocupate,Frecventa,Tip stocare,Capacitate SSD,Interfata SSD,Tip placa video,Chipset video,Camera WEB,Audio,Porturi,Cititor de carduri,Retea,Wireless,Tastatura numerica,Dimensiuni (W x H x D),Greutate,Securitate,Limba tastatura,Accesorii incluse,Culoare,Caracteristici cheie,Sistem de operare,Product name,New price,Old price,Reviews,Rating,Frecventa Turbo Boost,Unitate optica,Versiune Bluetooth,Platforma producator,Material,Autonomie baterie,Numar sloturi,Memorie integrata,Capacitate memorie maxima suportata,Capacitate HDD/SSHD,Viteza HDD,Tehnologii placa video,Tehnologii audio,Putere difuzoare,Model placa video,Capacitate memorie video,Tip memorie placa video,Producator difuzoare,Rata de refresh,Design,Touchscreen,Luminozitate,3G,4G
0,Intel,i3,7020U,Kaby Lake,2,2.3 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,Full HD,LED,Anti-Glare,1920 x 1080,4 GB,DDR4,1,2666 MHz,SSD,128 GB,M.2,Integrata,Intel HD,HD,Difuzoare stereoMicrofoane duale,2 x USB 3.11 x USB 2.01 x HDMI1 x RJ-45,SDSDHCSDXC,10/100,802.11 ac,Da,380 x 23.65 x 260.3 mm,1.9 Kg,Parola BIOSSecurity lock,Tastatura internationala,Adaptor 65W,Negru,Camera webTouchpad care accepta gesturi de atingeri multiple,Ubuntu,"Laptop Dell Inspiron 3584 cu procesor Intel Core i3-7020U 2.3 GHz, 15.6, Full HD, 4GB, 128GB SSD M.2, Intel HD Graphics 620, Ubuntu, Black",1099.99,1899.99,1,4.00,,,,,,,,,,,,,,,,,,,,,,,,
1,Intel,i5,,,2,1800 MHz,3072 KB,,Intel HD Graphics 6000,13.3 inch,WXGA+,LCD LED,Glossy,1440 x 900,8 GB,LPDDR3,,1600 MHz,SSD,128 GB,PCI Express,Integrata,,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x Mini DisplayPort,SDXC,,802.11 ac,,325 x 3 - 17 x 227 mm,1.35 Kg,,Tastatura internationala,,Argintiu,Tastatura iluminataretro-iluminare LED,Mac OS,"Laptop Apple MacBook Air 13 cu procesor Intel Dual Core i5 1.80GHz, 13.3"", 8GB, 128GB SSD, Intel HD Graphics 6000, INT KB, Silver",4199.99,5799.99,65,4.38,2900 MHz,Nu,4.0,Apple MacBook Air 13,Aluminiu,12 h,,,,,,,,,,,,,,,,,,
2,Intel,i3,7020U,Kaby Lake,2,2.3 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,Full HD,TN,Anti-Glare,1920 x 1080,4 GB,DDR4,,2133 MHz,HDD,,,Integrata,,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac,Da,375 x 253 x 22.3 mm,1.8 Kg,Kensington LockTPM (Trusted Platform Module),Tastatura UK,Adaptor 45W,Iron Grey,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura ergonomica,Free DOS,"Laptop Lenovo V130-15IKB cu procesor Intel Core i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 1TB, Intel HD Graphics 620, Free DOS, Iron Grey",1099.99,1849.99,8,4.00,,Nu,Bluetooth 4.1,V130 Series,,6 h,1,4096 MB,12 GB,1 TB,5400 rpm,DirectX 12,Dolby Audio,,,,,,,,,,,
3,Intel,Celeron,N4000,Gemini Lake,2,1.1 GHz,4096 KB,14 nm,Intel UHD Graphics 600,15.6 inch,HD,LCD LED,Anti-Glare,1366 x 768,4 GB,LPDDR4,,,HDD,,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,1 x USB 3.02 x USB 2.01 x HDMI1 x Audio Out/Microfon,Micro SD,,802.11 ac,Da,381 x 252 x 27.2 mm,2 Kg,TPM (Trusted Platform Module)Parola BIOSParola HDD,Tastatura internationala,Adaptor 33W,Chocolate Black,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Endless OS,"Laptop ASUS X540MA-GO207 cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, Intel UHD Graphics 600, Endless OS, Chocolate Black",799.99,1299.99,3,3.33,2.6 GHz,Nu,4.2,,,,,4096 MB,4 GB,500 GB,5400 rpm,,SonicMasterICEpower,,,,,,,,,,,
4,Intel,i5,7200U,Kaby Lake,2,2.5 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,HD,LCD LED,Anti-Glare,1366 x 768,4 GB,DDR4,,2133 MHz,HDD,,,Integrata,Intel HD,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXCMMC,10/100/1000,802.11 ac,Da,375 x 22.3 x 253 mm,1.8 Kg,Parola HDDSecurity lockTPM 2.0 (Trusted Platform Module),Tastatura UK,,Gri,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura ergonomica,Free DOS,"Laptop Lenovo V130-15IKB cu procesor Intel Core i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", 4GB, 500GB, Intel HD Graphics 620, Free DOS, Iron Grey",1699.99,2299.99,1,5.00,3.1 GHz,Nu,4.1,,,6 h,1,4096 MB,12 GB,500 GB,5400 rpm,DirectX 12,Dolby Audio,4 W,,,,,,,,,,
5,Intel,i7,8750H,Coffee Lake,6,2200 MHz,9216 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2666 MHz,HDD,,,Dedicata,nVidia GeForce GTX,HD,Difuzoare stereoMicrofon,1 x Audio Out1 x HDMI1 x RJ-451 x USB type C3 x USB 3.1,SD,10/100/1000,802.11 ac 2x2,Da,388.5 x 24.8 x 275.5 mm,2.62 Kg,,Tastatura internationala,,Negru,Camera webTastatura iluminata,Free DOS,"Laptop Gaming OMEN by HP 15-dc0014nq cu procesor Intel Core i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB, NVIDIA GeForce GTX 1050 Ti 4GB, Free DOS, Black",4099.99,5699.99,9,4.56,4100 MHz,Nu,4.2,OMEN by HP,,12 h,2,,,1 TB,7200 rpm,,,,GTX 1050 Ti,4096 MB,GDDR5,Bang & Olufsen,,,,,,
6,Intel,i5,8250U,Kaby Lake R,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,WLEDSVA,Anti-Glare,1920 x 1080,4 GB,DDR4,1,2400 MHz,HDD,,,Integrata,Intel UHD,HD,Difuzoare stereoMicrofon,2 x USB 3.11 x USB 2.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 b/g/n,Da,376 x 22.5 x 245 mm,2.04 Kg,Kensington MiniSaver,Tastatura internationala,Adaptor 45W,Negru,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop HP 15-da0042nq cu procesor Intel Core i5-8250U pana la 3.40 GHz Kaby Lake R, 15.6"", Full HD, 4GB, 1TB HDD, DVD-RW, Intel UHD Graphics, Free DOS, Sparkling Black",1799.99,2399.99,Adauga,,3.4 GHz,Da,4.2,,,,,,,1 TB,5400 rpm,DirectX 12,,,,,,,,,,,,
7,Intel,Celeron,N4000,Gemini Lake,2,1.1 GHz,4096 KB,14 nm,Intel UHD Graphics 600,15.6 inch,HD,LCD LED,Anti-Glare,1366 x 768,4 GB,LPDDR4,,2400 MHz,SSD,256 GB,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,1 x USB 3.02 x USB 2.01 x Jack 3.5 mm1 x HDMI,Micro SD,,802.11 ac,Da,381 x 27.2 x 252 mm,2 Kg,TPM (Trusted Platform Module)Parola BIOSParola HDD,Tastatura internationala,Adaptor 33W,Chocolate Black,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Endless OS,"Laptop ASUS X540MA cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", 4GB, 256GB SSD, DVD-RW, Intel UHD Graphics 600, Endless OS, Chocolate Black",1049.99,1399.99,15,4.13,2.6 GHz,Da,4.2,ASUS X540MA,,,,4096 MB,4 GB,,,,SonicMasterICEpower,2 W,,,,,60 Hz,,,,,
8,Intel,i5,8265U,Whiskey Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,,SSD,512 GB,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,2 x USB 2.01 x USB 3.11 x HDMI1 x USB type C1 x Audio Out/Microfon,Micro SDMicro SDXC,,802.11 ac,Da,360 x 22.9 x 235 mm,1.9 Kg,Parola BIOSTPM,Tastatura internationala,Adaptor 45W,Transparent Silver,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop ASUS X509FA cu procesor Intel Core i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics 620, Free DOS, Transparent Silver",2199.99,2999.99,Adauga,,3.9 GHz,,4.1,,,,,4096 MB,12 GB,,,,ICEpowerSonic Master,,,,,,60 Hz,,,,,
9,Intel,Celeron,N4000,Gemini Lake,2,1.1 GHz,4096 KB,14 nm,Intel UHD Graphics 600,15.6 inch,HD,TN,Anti-Glare,1366 x 768,4 GB,DDR4,1,2666 MHz,HDD,,,Integrata,Intel UHD,HD,Difuzoare stereoMicrofon,2 x USB 3.11 x USB 2.01 x HDMI1 x Audio Out/Microfon,SD,,802.11 ac,Da,380 x 20 x 258 mm,2 Kg,Parola BIOSSecurity lock,Tastatura internationala,,Negru,Camera webTouchpad care accepta gesturi de atingeri multiple,Linux,"Laptop Dell Inspiron 3582 cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, DVD-RW, Intel UHD Graphics 600, Linux, Black",949.99,1299.99,2,5.00,2.6 GHz,Da,,,,,,,,500 GB,5400 rpm,DirectX 12,Waves MaxxAudio Pro,,,,,,,,,,,
